data,municipio,precip_mm,temp_max_c,temp_min_c,temp_media_c,evapo_mm,dias_sem_chuva,n_dias
1970-01-01,Caruaru,103.8,29.0,20.56,23.99,138.75,8,31
1970-01-01,Garanhuns,86.1,27.31,18.45,22.12,139.65,13,31
1970-01-01,Petrolina,84.7,31.2,21.98,26.12,158.77,18,31
1970-01-01,Recife,76.4,29.75,24.2,26.63,141.3,3,31
1970-01-01,Salgueiro,201.4,31.84,22.59,26.88,165.77,17,31
1970-01-01,Serra Talhada,308.6,31.93,22.5,27.04,164.93,14,31
1970-02-01,Caruaru,45.5,28.73,20.78,23.85,128.67,12,28
1970-02-01,Garanhuns,61.2,26.91,18.62,21.85,122.44,9,28
1970-02-01,Petrolina,10.0,32.22,22.06,26.7,177.01,25,28
1970-02-01,Recife,87.8,29.01,24.12,26.25,127.65,11,28
1970-02-01,Salgueiro,35.2,32.68,22.58,27.38,171.96,24,28
1970-02-01,Serra Talhada,51.7,32.8,22.47,27.4,171.18,23,28
1970-03-01,Caruaru,108.0,27.42,20.75,23.33,116.93,7,31
1970-03-01,Garanhuns,124.6,25.55,18.63,21.29,111.76,6,31
1970-03-01,Petrolina,30.5,31.69,21.76,26.26,178.74,24,31
1970-03-01,Recife,193.4,28.39,23.99,25.93,113.32,2,31
1970-03-01,Salgueiro,98.0,30.69,21.8,25.73,147.93,18,31
1970-03-01,Serra Talhada,110.0,29.64,21.52,25.08,140.39,19,31
1970-04-01,Caruaru,49.8,27.85,20.7,23.44,114.6,13,30
1970-04-01,Garanhuns,46.9,26.12,18.5,21.51,111.51,16,30
1970-04-01,Petrolina,13.3,32.65,22.35,27.25,183.12,28,30
1970-04-01,Recife,131.1,28.61,24.1,26.06,111.4,8,30
1970-04-01,Salgueiro,15.7,32.24,22.52,27.22,168.74,24,30
1970-04-01,Serra Talhada,14.0,32.38,22.4,27.14,169.29,26,30
1970-05-01,Caruaru,30.9,26.39,19.82,22.4,101.79,18,31
1970-05-01,Garanhuns,47.3,24.38,17.69,20.33,96.74,12,31
1970-05-01,Petrolina,0.3,31.69,20.99,26.1,184.99,31,31
1970-05-01,Recife,71.4,27.66,23.41,25.29,102.9,7,31
1970-05-01,Salgueiro,5.8,31.59,20.97,26.07,174.01,30,31
1970-05-01,Serra Talhada,4.3,31.58,20.88,25.99,170.77,30,31
1970-06-01,Caruaru,36.5,25.41,19.05,21.7,86.03,15,30
1970-06-01,Garanhuns,40.9,23.23,17.08,19.6,80.07,15,30
1970-06-01,Petrolina,0.8,30.13,20.19,24.93,158.87,30,30
1970-06-01,Recife,85.0,26.97,22.75,24.59,90.95,3,30
1970-06-01,Salgueiro,4.4,30.38,20.41,24.98,143.54,29,30
1970-06-01,Serra Talhada,2.9,30.37,20.34,24.92,144.43,30,30
1970-07-01,Caruaru,36.4,24.45,18.35,20.72,88.93,17,31
1970-07-01,Garanhuns,70.6,22.22,16.17,18.55,80.98,8,31
1970-07-01,Petrolina,2.5,28.25,19.08,23.24,148.41,30,31
1970-07-01,Recife,103.9,25.97,22.12,23.78,93.91,3,31
1970-07-01,Salgueiro,6.7,28.65,19.07,23.47,142.86,30,31
1970-07-01,Serra Talhada,6.4,28.71,19.14,23.32,142.8,30,31
1970-08-01,Caruaru,35.5,24.53,18.0,20.62,96.99,14,31
1970-08-01,Garanhuns,45.2,22.27,15.95,18.48,89.5,10,31
1970-08-01,Petrolina,4.2,29.44,19.09,23.95,169.51,30,31
1970-08-01,Recife,108.2,25.96,21.86,23.67,102.29,0,31
1970-08-01,Salgueiro,3.6,29.53,19.25,24.04,163.29,31,31
1970-08-01,Serra Talhada,2.5,29.62,19.2,23.96,165.37,31,31
1970-09-01,Caruaru,24.3,26.89,18.65,21.99,121.9,18,30
1970-09-01,Garanhuns,32.2,24.52,16.31,19.7,118.6,16,30
1970-09-01,Petrolina,0.0,32.86,20.29,26.49,222.17,30,30
1970-09-01,Recife,64.0,27.24,22.54,24.56,121.94,6,30
1970-09-01,Salgueiro,0.7,32.94,20.31,26.39,210.77,30,30
1970-09-01,Serra Talhada,0.3,32.98,20.09,26.3,209.42,30,30
1970-10-01,Caruaru,13.2,29.94,19.39,23.76,161.04,27,31
1970-10-01,Garanhuns,19.8,28.48,17.15,21.94,159.58,27,31
1970-10-01,Petrolina,45.9,32.75,21.82,26.99,201.59,26,31
1970-10-01,Recife,19.4,29.29,23.44,25.95,148.46,26,31
1970-10-01,Salgueiro,131.5,34.23,22.31,27.94,204.13,25,31
1970-10-01,Serra Talhada,93.3,34.28,22.21,28.2,206.69,26,31
1970-11-01,Caruaru,8.4,30.67,19.92,24.37,160.83,27,30
1970-11-01,Garanhuns,8.9,29.48,17.74,22.74,167.91,26,30
1970-11-01,Petrolina,47.7,31.48,22.46,26.65,168.76,21,30
1970-11-01,Recife,22.1,30.05,24.03,26.6,155.61,19,30
1970-11-01,Salgueiro,20.1,34.04,23.51,28.6,191.62,26,30
1970-11-01,Serra Talhada,8.7,34.53,23.65,29.09,205.29,28,30
1970-12-01,Caruaru,18.3,30.96,19.89,24.53,175.9,24,31
1970-12-01,Garanhuns,8.0,29.59,17.63,22.83,181.65,28,31
1970-12-01,Petrolina,10.8,34.09,22.7,28.3,233.22,27,31
1970-12-01,Recife,28.3,30.13,23.98,26.58,159.89,17,31
1970-12-01,Salgueiro,2.0,35.29,23.67,29.44,238.55,30,31
1970-12-01,Serra Talhada,0.3,35.51,23.15,29.44,239.75,31,31
1971-01-01,Caruaru,15.0,30.18,19.84,24.25,162.67,24,31
1971-01-01,Garanhuns,17.0,28.66,17.54,22.33,161.49,24,31
1971-01-01,Petrolina,5.8,33.84,22.63,28.16,229.23,28,31
1971-01-01,Recife,36.6,30.18,24.14,26.76,159.57,15,31
1971-01-01,Salgueiro,25.7,34.02,23.18,28.46,209.53,27,31
1971-01-01,Serra Talhada,10.8,34.33,23.18,28.75,216.07,27,31
1971-02-01,Caruaru,29.8,29.8,19.95,24.13,145.2,21,28
1971-02-01,Garanhuns,22.1,28.18,17.8,22.32,147.75,23,28
1971-02-01,Petrolina,31.1,33.11,22.82,27.69,193.96,22,28
1971-02-01,Recife,35.8,30.01,23.98,26.75,142.53,12,28
1971-02-01,Salgueiro,52.7,33.22,23.0,27.66,169.39,16,28
1971-02-01,Serra Talhada,48.8,33.7,23.28,28.2,177.69,18,28
1971-03-01,Caruaru,102.6,29.17,20.82,24.12,138.62,7,31
1971-03-01,Garanhuns,86.2,28.27,18.83,22.58,142.87,7,31
1971-03-01,Petrolina,84.2,31.49,22.14,26.45,172.58,16,31
1971-03-01,Recife,100.1,29.43,24.0,26.38,131.55,2,31
1971-03-01,Salgueiro,201.8,30.26,21.78,25.48,142.52,12,31
1971-03-01,Serra Talhada,128.3,30.9,22.05,26.03,151.49,16,31
1971-04-01,Caruaru,216.5,27.71,20.8,23.49,105.01,2,30
1971-04-01,Garanhuns,200.6,25.87,18.93,21.63,101.1,6,30
1971-04-01,Petrolina,188.0,28.74,21.74,24.75,111.17,12,30
1971-04-01,Recife,181.2,28.82,23.57,25.84,106.03,0,30
1971-04-01,Salgueiro,266.9,28.58,21.39,24.36,106.16,4,30
1971-04-01,Serra Talhada,308.4,28.23,21.3,24.29,105.84,6,30
1971-05-01,Caruaru,80.6,25.79,20.21,22.29,91.73,10,31
1971-05-01,Garanhuns,94.8,23.58,18.19,20.25,86.66,5,31
1971-05-01,Petrolina,8.5,28.64,20.84,24.33,127.64,29,31
1971-05-01,Recife,183.9,27.25,23.14,24.91,89.99,4,31
1971-05-01,Salgueiro,40.1,27.7,20.59,23.78,108.96,17,31
1971-05-01,Serra Talhada,51.0,27.41,20.38,23.41,104.45,17,31
1971-06-01,Caruaru,51.1,25.68,19.34,21.88,91.52,13,30
1971-06-01,Garanhuns,56.3,23.61,17.32,19.88,87.14,13,30
1971-06-01,Petrolina,11.4,29.94,20.69,24.98,140.88,27,30
1971-06-01,Recife,93.9,27.01,22.97,24.77,91.91,6,30
1971-06-01,Salgueiro,23.4,29.29,20.35,24.51,123.96,21,30
1971-06-01,Serra Talhada,44.2,29.5,20.1,24.46,123.41,23,30
1971-07-01,Caruaru,42.3,24.72,18.84,21.09,88.66,11,31
1971-07-01,Garanhuns,67.8,22.57,16.67,18.96,80.32,4,31
1971-07-01,Petrolina,1.4,29.28,19.56,24.05,152.15,31,31
1971-07-01,Recife,116.6,26.14,22.08,23.86,89.17,2,31
1971-07-01,Salgueiro,6.8,29.12,19.77,24.1,136.68,31,31
1971-07-01,Serra Talhada,5.6,29.49,19.77,24.15,139.06,30,31
1971-08-01,Caruaru,28.7,25.09,17.96,20.85,110.96,17,31
1971-08-01,Garanhuns,48.0,23.05,15.92,18.75,101.98,12,31
1971-08-01,Petrolina,1.6,29.99,19.15,24.38,182.84,31,31
1971-08-01,Recife,66.4,26.14,21.82,23.77,111.62,4,31
1971-08-01,Salgueiro,1.2,30.16,19.18,24.35,172.46,31,31
1971-08-01,Serra Talhada,0.6,30.53,19.14,24.45,179.7,31,31
1971-09-01,Caruaru,31.1,26.32,18.44,21.67,116.86,17,30
1971-09-01,Garanhuns,32.3,24.52,16.14,19.58,115.89,20,30
1971-09-01,Petrolina,3.0,32.0,20.54,26.01,198.15,29,30
1971-09-01,Recife,72.5,26.89,22.13,24.22,115.76,5,30
